officialname,openairecompatibility,opendoar_link
Publikationer från Högskolan i Jönköping,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/259
Publikationer från Högskolan i Skövde,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/1481
Publikationer från Karlstads Universitet,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/383
Publikationer från KTH,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/260
Publikationer från Linköpings universitet,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/261
Publikationer från Örebro universitet,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/384
Publikationer från Södertörns Högskola,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/262
Publikationer från Stockholms universitet,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/263
Publikationer från Umeå universitet,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/264
Publikationer från Uppsala Universitet,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/361
Publikationsserver der RWTH Aachen University,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/791
Publikationsserver der Universität Potsdam,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/266
Publikationsserver des Robert Koch-Instituts,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/1559
Purdue E-Scholar,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/540
PURE Aarhus University,"OpenAIRE 3.0 (OA, funding)",NA
QSpace,OpenAIRE PubRepos v4.0,https://v2.sherpa.ac.uk/id/repository/268
Qucosa - Publikationsserver der Universität Leipzig,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/4178
Qucosa - Technische Universität Bergakademie Freiberg,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/4293
Qucosa - Technische Universität Dresden,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/4179
Qucosa: Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/4182
Queen's University Research Portal,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/2607
"RADaR -  Institute for Biological Research Sinisa Stankovic, University of Belgrade","OpenAIRE 3.0 (OA, funding)",NA
Radboud Repository,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/1236
RaY - Research at York St John,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/1391
RCSI Repository,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/1401
RE.PUBLIC@POLIMI Research Publications at Politecnico di Milano,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3731
Refubium - Repositorium der Freien Universität Berlin,OpenAIRE PubRepos v4.0,https://v2.sherpa.ac.uk/id/repository/4732
Repertorio Competenze e Ricerche,OpenAIRE 2.0 (EC funding),https://v2.sherpa.ac.uk/id/repository/2649
REPISALUD,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/4734
Repositori d'Objectes Digitals per a l'Ensenyament la Recerca i la Cultura,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/2079
Repositori Institucional URV,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3351
Repositório Aberto da Universidade do Porto,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/1406
Repositorio Académico de la Universidad Nacional de Costa Rica,not available,https://v2.sherpa.ac.uk/id/repository/2844
Repositório da Universidade Nova de Lisboa,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/1437
Repositorio de la UNED,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/1081
Repositorio de Objetos de Docencia e Investigación de la Universidad de Cádiz,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/1700
Repositório Digital do IPEN/SP - Brasil,not available,https://v2.sherpa.ac.uk/id/repository/4510
Repositório do ISCTE-IUL,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/1199
Repositorio Documental de la Universidad de Valladolid,OpenAIRE PubRepos v4.0,https://v2.sherpa.ac.uk/id/repository/1514
Repositorio Hipermedial de la Universidad Nacional de Rosario,not available,https://v2.sherpa.ac.uk/id/repository/1550
Repositório Institucional da UFVJM,not available,https://v2.sherpa.ac.uk/id/repository/2145
Repositório Institucional da Universidade de Aveiro,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/2292
Repositorio Institucional de la Universidad de Burgos,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/1527
Repositorio Institucional de la Universidad de Costa Rica,not available,https://v2.sherpa.ac.uk/id/repository/1871
Repositorio Institucional de la Universidad de Oviedo,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/2439
Repositorio Institucional del Banco de España,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/9487
Repositorio Institucional EdocUR,OpenAIRE PubRepos v4.0,https://v2.sherpa.ac.uk/id/repository/1325
Repositorio Institucional Olavide,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/3034
Repositório Institucional UNESP,not available,https://v2.sherpa.ac.uk/id/repository/2946
Repositorio Institucional Universidad de Granada,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/1648
Repositorio Institucional Universidad de Málaga,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/1785
Repositorio Universidad de Santander - UDES,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/7085
Repository CWI Amsterdam,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/2358
"Repository of Faculty of Science, University of Zagreb","OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3908
Repository of Nicolaus Copernicus University,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/2570
Repository of the University of Ljubljana,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3505
Repository of the University of Namur,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/4291
"Repository of the University of Rijeka, Faculty of Medicine","OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/4121
Repository TU/e,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/567
Repository@Napier,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/1334
reposiTUm,OpenAIRE PubRepos v4.0,https://v2.sherpa.ac.uk/id/repository/3431
Repozytorium Uniwersytetu Śląskiego RE-BUŚ,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/4084
RERO DOC Digital Library,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/805
Research Data Unipd,"OpenAIRE Data (funded, referenced datasets)",NA
Research Papers in Economics,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/645
Research Repository of Catalonia,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/272
Research SPAce,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/2694
ResearchGate Data,not available,NA
Reti Medievali Open Archive,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3534
Revistes Catalanes amb Accés Obert,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/613
riUAL - Repositorio Institucional de la Universidad de Almería (Spain),"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/2382
ROBIS,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/4577
RODARE,"OpenAIRE Data (funded, referenced datasets)",NA
Rothamsted Repository,OpenAIRE PubRepos v4.0,https://v2.sherpa.ac.uk/id/repository/4225
RUIdeRA,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/1811
RVC Research Online,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/3495
Sabanci University Research Database,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/1246
SAS-SPACE,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/907
"Scientia, Dipòsit d’Informació Digital del Departament de Salut","OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3991
Scientific documents from the Saarland University,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/286
Scientific Electronic Library Online - Brazil,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/608
Scientific Electronic Library Online - Chile,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/614
Scientific Electronic Library Online - Colombia,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/618
Scientific Electronic Library Online - Portugal,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/616
Scientific Electronic Library Online - South Africa,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/1575
SCOAP3 Repository,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/3000
Serveur académique lausannois,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/1900
Servicio de Difusión de la Creación Intelectual,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/1329
Sheffield Hallam University Research Archive,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/942
SISSA Digital Library,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/288
"SMILE - School of dental Medicine dIgitaL archivE, University of Belgrade","OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/9712
SOAS Research Online,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/285
SocArXiv,OpenAIRE Basic (DRIVER OA),NA
Social Science Open Access Repository,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/1272
Solent University Research Portal,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/9451
Spiral - Imperial College Digital Repository,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/1032
SPIRE - Sciences Po Institutional REpository,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3063
SpringerOpen,collected from a compatible aggregator,NA
St Andrews Research Repository,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/901
St George's Online Research Archive,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/2556
Strathprints,not available,https://v2.sherpa.ac.uk/id/repository/1181
Suleyman Demirel University Research Repository,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/1865
Sunderland University Institutional Repository,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/2408
Surrey Research Insight,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/305
Sussex Research Online,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/2384
Swedish Institute of Computer Science Publications Database,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/850
SZTAKI Publication Repository,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/2764
SZTE Publicatio Repozitórium - SZTE - Repository of Publications,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/2868
TECNALIA Publications,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3360
The IT University of Copenhagen's Repository,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/2988
The University of Manchester - Institutional Repository,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/3818
Theses@asb,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/2416
Tilburg University Repository,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/550
TNO Repository - hosted by TU Delft Library,collected from a compatible aggregator,NA
TOBB ETÜ Institutional Repository,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/4483
Toulouse 1 Capitole Publications,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/2603
Trepo - Institutional Repository of Tampere University,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/4853
TU Delft Repository,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/571
TUGraz OPEN Library,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3560
TUHH Open Research,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/718
tuprints,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/1374
uBibliorum Repositorio Digital DA UBI,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/6231
UCrea,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/2473
UEF eRepository,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/3891
UGD Academic Repository,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/2788
UIC Open Acces Archive,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/4854
UM Publications,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/83
UNC Dataverse,not available,NA
uni≡pub (unipub),OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/3007
Unitus DSpace,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/306
Università degli Studi di Napoli Federico Il Open Archive,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/152
Universiteit Twente Repository,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/354
Universiteit van Amsterdam Digital Academic Repository,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/323
University of Bath Research Data Archive,"OpenAIRE Data (funded, referenced datasets)",NA
University of Bath's research portal,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/1378
University of East Anglia digital repository,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/1366
"University of Gloucestershire, Research Repository",collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/3160
University of Huddersfield Repository,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/1012
University of Innsbruck Digital Library,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/3132
University of Lincoln Institutional Repository,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/5
University of Liverpool Repository,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/1292
University of Oulu Repository - Jultika,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/2423
University of Regensburg Publication Server,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/855
University of Salford Institutional Repository,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/991
University of Southern Denmark Research Output,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/3062
University of Worcester Research and Publications,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/1177
University of Zagreb Medical School Repository,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/579
Univerzitní repozitář Masarykovy univerzity,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3253
UPCommons - Research Data,"OpenAIRE Data (funded, referenced datasets)",NA
UPCommons. Portal del coneixement obert de la UPC,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3484
UPF Digital Repository,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/1610
Uşak Üniversitesi Kurumsal Akademik Arşiv Sistemi,OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/3224
Usiena air - Università di Siena,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/1820
Utrecht University Repository,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/101
UWL Repository,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/2700
VBN,"OpenAIRE 2.0+ (DRIVER OA, EC funding)",https://v2.sherpa.ac.uk/id/repository/1266
Vilnius University Institutional Repository,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/4036
"VinaR - Repository of the Vinča Institute of Nuclear Sciences, University of Belgrade","OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/4175
VTT Research Information System,"OpenAIRE 3.0 (OA, funding)",NA
Wageningen Staff Publications,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/370
Warwick Research Archives Portal Repository,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/1288
Web-based Archive of RIVM Publications,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/881
White Rose Research Online,collected from a compatible aggregator,https://v2.sherpa.ac.uk/id/repository/373
Zenodo,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/2659
Zenodo,OpenAIRE Basic (DRIVER OA),NA
ZHAW digitalcollection,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/3760
Zurich Open Repository and Archive,"OpenAIRE 3.0 (OA, funding)",https://v2.sherpa.ac.uk/id/repository/885
Наукова електронна бібліотека періодичних видань НАН України (Vernadsky National Library of Ukraine),OpenAIRE Basic (DRIVER OA),https://v2.sherpa.ac.uk/id/repository/1456
Национальный агрегатор открытых репозиториев российских университетов (HOPA),"OpenAIRE 3.0 (OA, funding)",NA
